,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
268,269,30,RM,71.0,6900,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1Story,5,6,1940,1955,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,403,Rec,125,212,740,Ex,SBrkr,778,0,778,0,1,0,2,TA,4,1,Gd,Detchd,1966.0,Fin,1,924,Ex,Y,0,25,0,0,,2,2008,WD,Normal,120500
269,270,20,RL,,7917,IR1,Lvl,Corner,Edwards,Norm,1Fam,1Story,6,7,1976,1976,Hip,HdBoard,HdBoard,BrkFace,174.0,TA,Gd,CBlock,TA,Gd,No,BLQ,751,Unf,0,392,1143,TA,SBrkr,1113,0,1113,1,1,1,3,TA,6,1,Fa,Attchd,1987.0,RFn,1,504,TA,Y,370,30,0,0,GdPrv,5,2007,WD,Normal,148000
270,271,60,FV,84.0,10728,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,Unf,0,1095,1095,Gd,SBrkr,1095,844,1939,0,2,1,3,Gd,8,1,Gd,Attchd,2006.0,RFn,3,1053,TA,Y,192,51,0,0,,8,2006,New,Partial,266000
271,272,20,RL,73.0,39104,IR1,Low,CulDSac,ClearCr,Norm,1Fam,1Story,7,7,1954,2005,Flat,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,LwQ,226,GLQ,1063,96,1385,Ex,SBrkr,1363,0,1363,1,1,0,2,TA,5,2,TA,Attchd,1954.0,Unf,2,439,TA,Y,81,0,0,0,,4,2008,WD,Normal,241500
272,273,60,RL,92.0,11764,IR1,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524,Unf,0,628,1152,Ex,SBrkr,1164,1106,2270,0,2,1,4,Gd,9,1,Gd,Attchd,1999.0,Fin,3,671,TA,Y,132,57,0,0,,4,2010,WD,Normal,290000
273,274,20,RL,80.0,9600,Reg,Lvl,Inside,NAmes,Feedr,1Fam,1Story,6,6,1958,1988,Hip,Wd Sdng,Wd Sdng,BrkCmn,183.0,TA,TA,CBlock,TA,TA,No,Rec,620,LwQ,620,0,1240,Gd,SBrkr,1632,0,1632,1,2,0,3,TA,6,1,Gd,Attchd,1958.0,RFn,1,338,TA,Y,289,0,0,0,MnPrv,4,2009,WD,Normal,139000
274,275,20,RL,76.0,8314,Reg,Lvl,Corner,Mitchel,Norm,1Fam,1Story,5,7,1982,1982,Gable,HdBoard,ImStucc,None,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,546,Unf,0,270,816,TA,SBrkr,816,0,816,0,1,0,2,TA,5,0,,Attchd,1982.0,Unf,1,264,TA,Y,168,0,0,0,,6,2007,WD,Normal,124500
275,276,50,RL,55.0,7264,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Gd,SBrkr,952,596,1548,0,2,1,3,Ex,5,0,,Detchd,1978.0,Unf,2,672,TA,Y,74,0,0,144,,10,2009,WD,Normal,205000
276,277,20,RL,129.0,9196,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1560,1560,Ex,SBrkr,1560,0,1560,0,2,0,3,Gd,7,0,,Attchd,2003.0,Fin,2,573,TA,Y,100,150,0,0,,4,2010,WD,Normal,201000
277,278,20,RL,140.0,19138,Reg,Lvl,Corner,Gilbert,Norm,1Fam,1Story,4,5,1951,1951,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120,Unf,0,744,864,Ex,SBrkr,864,0,864,0,1,0,2,TA,4,0,,Detchd,1951.0,Unf,2,400,TA,Y,0,0,0,0,,6,2010,WD,Normal,141000
278,279,20,RL,107.0,14450,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,9,5,2006,2007,Gable,CemntBd,CmentBd,BrkFace,315.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,2121,2121,Ex,SBrkr,2121,0,2121,0,2,1,3,Ex,8,1,Ex,Attchd,2007.0,Fin,3,732,TA,Y,124,98,0,142,,5,2007,New,Partial,415298
279,280,60,RL,83.0,10005,Reg,Lvl,Inside,ClearCr,Norm,1Fam,2Story,7,5,1977,1977,Hip,Plywood,Plywood,BrkFace,299.0,TA,TA,CBlock,Gd,TA,No,BLQ,392,Unf,0,768,1160,Ex,SBrkr,1156,866,2022,0,2,1,4,TA,8,1,TA,Attchd,1977.0,Fin,2,505,TA,Y,288,117,0,0,,3,2008,WD,Normal,192000
280,281,60,RL,82.0,11287,Reg,Lvl,Inside,SawyerW,Norm,1Fam,2Story,7,6,1989,1989,Gable,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,421,Unf,0,386,807,Gd,SBrkr,1175,807,1982,0,2,1,3,Gd,7,1,TA,Attchd,1989.0,Fin,2,575,TA,Y,0,84,0,0,,1,2007,WD,Normal,228500
281,282,20,FV,60.0,7200,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,6,5,2006,2006,Gable,VinylSd,VinylSd,Stone,68.0,Gd,TA,PConc,Gd,TA,No,GLQ,905,Unf,0,357,1262,Gd,SBrkr,1262,0,1262,0,2,0,2,Gd,5,0,,Attchd,2006.0,Fin,2,572,TA,Y,0,120,0,0,,5,2006,New,Partial,185000
282,283,120,RL,34.0,5063,Reg,Lvl,Inside,NridgHt,Norm,Twnhs,1Story,7,5,2007,2008,Gable,VinylSd,VinylSd,Stone,166.0,Gd,TA,PConc,Gd,TA,No,GLQ,904,Unf,0,410,1314,Ex,SBrkr,1314,0,1314,1,2,0,2,Gd,6,1,Gd,Attchd,2008.0,RFn,2,626,TA,Y,172,62,0,0,,4,2009,ConLw,Normal,207500
283,284,20,RL,74.0,9612,Reg,Lvl,Inside,Somerst,Feedr,1Fam,1Story,8,5,2008,2009,Gable,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1468,1468,Ex,SBrkr,1468,0,1468,0,2,0,3,Gd,6,1,Gd,Attchd,2008.0,Fin,3,898,TA,Y,210,150,0,0,,12,2009,New,Partial,244600
284,285,120,RL,50.0,8012,Reg,Lvl,Inside,SawyerW,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,Plywood,ImStucc,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,430,Unf,0,1145,1575,Gd,SBrkr,1575,0,1575,1,2,0,2,Gd,5,0,,Attchd,1992.0,RFn,2,529,TA,Y,0,0,52,0,,7,2007,WD,Normal,179200
285,286,160,FV,35.0,4251,IR1,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,625,625,Ex,SBrkr,625,625,1250,0,2,1,2,Gd,5,0,,Detchd,2006.0,RFn,2,528,TA,Y,0,54,0,0,,6,2007,New,Partial,164700
286,287,50,RL,77.0,9786,IR1,Bnk,Inside,NAmes,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,0,312,912,TA,SBrkr,1085,649,1734,0,1,1,3,Gd,7,1,Gd,Attchd,1962.0,RFn,2,440,TA,Y,0,0,0,128,GdPrv,6,2006,WD,Normal,159000
287,288,20,RL,,8125,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,4,4,1971,1971,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,614,Unf,0,244,858,TA,SBrkr,858,0,858,0,1,0,3,TA,5,0,,,,,0,0,,Y,0,0,0,0,,6,2006,WD,Normal,88000
288,289,20,RL,,9819,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1967,1967,Gable,MetalSd,MetalSd,BrkFace,31.0,TA,Gd,CBlock,TA,TA,No,BLQ,450,Unf,0,432,882,TA,SBrkr,900,0,900,0,1,0,3,TA,5,0,,Detchd,1970.0,Unf,1,280,TA,Y,0,0,0,0,MnPrv,2,2010,WD,Normal,122000
289,290,70,RL,60.0,8730,Reg,Lvl,Inside,BrkSide,RRAn,1Fam,2Story,6,7,1915,2003,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,698,698,Ex,FuseA,698,698,1396,0,1,0,3,TA,7,0,,Detchd,2003.0,Unf,1,384,TA,Y,0,0,0,259,,7,2007,WD,Normal,153575
290,291,60,RL,120.0,15611,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1079,1079,Ex,SBrkr,1079,840,1919,0,2,1,3,Gd,8,1,Gd,Attchd,2006.0,RFn,2,685,Gd,Y,0,51,0,0,,7,2006,New,Partial,233230
291,292,190,RL,55.0,5687,Reg,Bnk,Inside,SWISU,Norm,2fmCon,2Story,5,6,1912,2000,Gable,VinylSd,VinylSd,None,0.0,TA,Fa,PConc,TA,Fa,No,Rec,210,Unf,0,570,780,Ex,SBrkr,936,780,1716,1,2,0,6,Fa,9,0,,,,,0,0,,N,0,184,0,0,,3,2008,WD,Normal,135900
292,293,50,RL,60.0,11409,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292,Unf,0,476,768,Gd,SBrkr,1148,568,1716,0,1,1,3,TA,8,1,Gd,Attchd,1949.0,Unf,1,281,TA,Y,0,0,0,160,,1,2009,WD,Normal,131000
293,294,60,RL,,16659,IR1,Lvl,Corner,NWAmes,PosA,1Fam,2Story,7,7,1977,1994,Gable,Plywood,Plywood,BrkFace,34.0,TA,TA,CBlock,TA,TA,No,ALQ,795,Unf,0,0,795,Fa,SBrkr,1468,795,2263,1,2,1,3,Gd,9,1,TA,Attchd,1977.0,Fin,2,539,TA,Y,0,250,0,0,,3,2006,WD,Normal,235000
294,295,20,RL,80.0,9600,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1953,1953,Hip,HdBoard,HdBoard,Stone,238.0,TA,TA,CBlock,TA,TA,No,GLQ,1285,Unf,0,131,1416,TA,SBrkr,1644,0,1644,1,1,0,3,TA,7,2,Gd,Attchd,1953.0,Fin,2,418,TA,Y,110,0,0,0,,10,2009,WD,Normal,167000
295,296,80,RL,37.0,7937,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,SLvl,6,6,1984,1984,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,GLQ,819,Unf,0,184,1003,TA,SBrkr,1003,0,1003,1,1,0,3,TA,6,0,,Detchd,1984.0,Unf,2,588,TA,Y,120,0,0,0,GdPrv,3,2006,WD,Normal,142500
296,297,50,RM,75.0,13710,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,420,Unf,0,490,910,TA,FuseA,910,648,1558,0,1,1,4,TA,6,0,,Attchd,1950.0,Unf,1,282,TA,Y,289,0,0,0,MnPrv,6,2007,WD,Normal,152000
297,298,60,FV,66.0,7399,IR1,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,5,1997,1998,Hip,VinylSd,VinylSd,BrkFace,1600.0,Gd,TA,PConc,Gd,TA,No,BLQ,649,Unf,0,326,975,Ex,SBrkr,975,975,1950,0,2,1,3,Gd,7,1,TA,Detchd,1997.0,RFn,2,576,TA,Y,0,10,0,198,,6,2007,WD,Normal,239000
298,299,60,RL,90.0,11700,Reg,Lvl,Inside,NWAmes,Norm,1Fam,2Story,6,6,1968,1968,Mansard,HdBoard,AsphShn,BrkFace,365.0,Gd,TA,CBlock,TA,TA,No,ALQ,384,Rec,175,143,702,Gd,SBrkr,1041,702,1743,0,1,2,3,TA,7,1,Gd,Attchd,1968.0,Unf,2,539,TA,Y,224,0,0,0,,6,2007,WD,Normal,175000
299,300,20,RL,80.0,14000,Reg,Lvl,Inside,Crawfor,Norm,1Fam,1Story,6,8,1950,2004,Gable,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1092,1092,Ex,SBrkr,1152,0,1152,0,1,0,3,Gd,6,1,Gd,Attchd,1950.0,Unf,1,300,TA,Y,0,36,0,0,GdPrv,8,2009,WD,Family,158500
300,301,190,RL,90.0,15750,Reg,Lvl,Corner,Crawfor,Norm,2fmCon,1Story,5,5,1953,1953,Hip,MetalSd,MetalSd,BrkFace,56.0,TA,TA,CBlock,TA,TA,Mn,BLQ,841,Unf,0,324,1165,TA,SBrkr,1336,0,1336,1,1,0,2,TA,5,2,Gd,Attchd,1953.0,Unf,1,375,TA,Y,0,0,0,0,,6,2006,WD,Normal,157000
301,302,60,RL,66.0,16226,IR3,Lvl,Inside,CollgCr,Norm,1Fam,2Story,8,5,1998,1999,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,281,Unf,0,747,1028,Ex,SBrkr,1210,1242,2452,0,2,1,4,Gd,9,1,TA,BuiltIn,1998.0,Fin,2,683,TA,Y,208,50,0,0,,5,2007,WD,Normal,267000
302,303,20,RL,118.0,13704,IR1,Lvl,Corner,CollgCr,Norm,1Fam,1Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,150.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1541,1541,Ex,SBrkr,1541,0,1541,0,2,0,3,Gd,6,1,TA,Attchd,2001.0,RFn,3,843,TA,Y,468,81,0,0,,1,2006,WD,Normal,205000
303,304,20,RL,70.0,9800,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,894,Unf,0,0,894,TA,SBrkr,894,0,894,1,1,0,3,TA,5,0,,Attchd,1975.0,Unf,2,552,TA,Y,256,0,0,0,GdWo,7,2006,WD,Abnorml,149900
304,305,75,RM,87.0,18386,Reg,Lvl,Inside,OldTown,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CemntBd,CmentBd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1470,1470,Ex,SBrkr,1675,1818,3493,0,3,0,3,Gd,10,1,Ex,Attchd,2003.0,Unf,3,870,TA,Y,302,0,0,0,,5,2008,WD,Normal,295000
305,306,20,RL,80.0,10386,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2004,2005,Gable,CemntBd,CmentBd,Stone,246.0,Gd,TA,PConc,Gd,TA,No,GLQ,1464,Unf,0,536,2000,Ex,SBrkr,2000,0,2000,1,2,0,3,Gd,8,0,,Attchd,2004.0,Fin,3,888,TA,Y,168,0,0,0,,7,2007,WD,Normal,305900
306,307,60,RL,116.0,13474,Reg,Lvl,Inside,SawyerW,Feedr,1Fam,2Story,7,5,1990,1991,Gable,HdBoard,Plywood,BrkFace,246.0,Gd,TA,CBlock,Gd,TA,No,ALQ,700,Unf,0,0,700,Gd,SBrkr,1122,1121,2243,1,2,1,4,Gd,8,1,TA,Attchd,1990.0,RFn,3,746,TA,Y,127,44,224,0,,6,2007,WD,Normal,225000
307,308,50,RM,,7920,IR1,Lvl,Inside,IDOTRR,Artery,1Fam,1.5Fin,6,7,1920,1950,Gable,MetalSd,MetalSd,None,0.0,TA,Fa,CBlock,TA,TA,No,Unf,0,Unf,0,319,319,TA,FuseA,1035,371,1406,0,1,0,3,Fa,6,0,,,,,0,0,,N,0,144,0,0,MnPrv,3,2008,WD,Normal,89500
308,309,30,RL,,12342,IR1,Lvl,Inside,Edwards,Norm,1Fam,1Story,4,5,1940,1950,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,0,599,861,Ex,SBrkr,861,0,861,0,1,0,1,TA,4,0,,Detchd,1961.0,Unf,2,539,TA,Y,158,0,0,0,,3,2009,WD,Normal,82500
309,310,20,RL,90.0,12378,IR1,Lvl,Inside,NridgHt,Norm,1Fam,1Story,9,5,2003,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896,Ex,SBrkr,1944,0,1944,1,2,0,3,Ex,8,3,Ex,Attchd,2003.0,Fin,3,708,TA,Y,208,175,0,0,,11,2006,WD,Normal,360000
310,311,60,RL,,7685,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,5,1993,1994,Gable,HdBoard,HdBoard,BrkFace,112.0,TA,TA,PConc,Gd,TA,No,ALQ,518,Unf,0,179,697,Gd,SBrkr,697,804,1501,0,2,1,3,Gd,6,1,TA,Attchd,1993.0,Fin,2,420,TA,Y,190,63,0,0,,5,2006,WD,Normal,165600
311,312,20,RL,50.0,8000,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1948,2002,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,680,Unf,0,292,972,Ex,SBrkr,972,0,972,1,1,0,2,TA,5,1,Gd,Detchd,1948.0,Unf,1,240,TA,Y,0,0,0,0,,5,2009,WD,Normal,132000
312,313,190,RM,65.0,7800,Reg,Lvl,Inside,OldTown,Artery,2fmCon,1.5Fin,5,7,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Mn,Rec,507,Unf,0,286,793,TA,SBrkr,793,325,1118,1,1,0,3,TA,5,1,Gd,Detchd,1939.0,Unf,2,410,TA,Y,0,0,0,271,MnPrv,5,2006,WD,Normal,119900
313,314,20,RL,150.0,215245,IR3,Low,Inside,Timber,Norm,1Fam,1Story,7,5,1965,1965,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1236,Rec,820,80,2136,TA,SBrkr,2036,0,2036,2,2,0,3,TA,8,2,Gd,Attchd,1965.0,RFn,2,513,TA,Y,0,0,0,0,,6,2009,WD,Normal,375000
314,315,70,RM,60.0,9600,Reg,Lvl,Inside,OldTown,Norm,1Fam,2Story,7,7,1925,1990,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Gd,No,LwQ,16,Unf,0,712,728,Ex,SBrkr,832,809,1641,0,1,1,3,Ex,6,1,Gd,Detchd,1925.0,Unf,2,546,Fa,Y,0,0,234,0,,8,2006,WD,Normal,178000
315,316,60,RL,71.0,7795,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,7,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,425,Unf,0,291,716,Ex,SBrkr,716,716,1432,1,2,1,3,Gd,6,1,Gd,Attchd,2004.0,Fin,2,432,TA,Y,100,51,0,0,,7,2009,WD,Normal,188500
316,317,60,RL,94.0,13005,IR1,Lvl,Corner,NWAmes,Norm,1Fam,2Story,7,7,1980,1980,Gable,CemntBd,CmentBd,BrkFace,278.0,Gd,TA,CBlock,Gd,TA,No,GLQ,692,Unf,0,153,845,TA,SBrkr,1153,1200,2353,1,2,1,4,Ex,10,1,TA,Attchd,1983.0,RFn,2,484,TA,Y,288,195,0,0,GdPrv,8,2009,WD,Normal,260000
317,318,60,FV,75.0,9000,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1088,1088,Ex,SBrkr,1088,871,1959,0,2,1,3,Gd,8,1,Gd,Attchd,2006.0,RFn,3,1025,TA,Y,208,46,0,0,,12,2007,WD,Normal,270000
318,319,60,RL,90.0,9900,Reg,Low,Inside,NoRidge,Norm,1Fam,2Story,7,5,1993,1993,Gable,HdBoard,HdBoard,BrkFace,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,987,Unf,0,360,1347,Ex,SBrkr,1372,1274,2646,1,2,1,4,Gd,9,1,TA,Attchd,1993.0,RFn,3,656,TA,Y,340,60,144,0,,4,2009,WD,Normal,260000
319,320,80,RL,,14115,Reg,Lvl,Inside,NWAmes,Norm,1Fam,SLvl,7,5,1980,1980,Gable,Plywood,Plywood,BrkFace,225.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1036,Unf,0,336,1372,TA,SBrkr,1472,0,1472,1,2,0,3,TA,6,2,TA,Attchd,1980.0,Unf,2,588,TA,Y,233,48,0,0,,6,2009,WD,Normal,187500
320,321,60,RL,111.0,16259,Reg,Lvl,Corner,NridgHt,Norm,1Fam,2Story,9,5,2006,2006,Gable,VinylSd,VinylSd,Stone,370.0,TA,TA,PConc,Ex,Gd,Av,Unf,0,Unf,0,1249,1249,Ex,SBrkr,1249,1347,2596,0,3,1,4,Gd,9,0,,Attchd,2006.0,RFn,3,840,TA,Y,240,154,0,0,,9,2006,New,Partial,342643
321,322,60,RL,99.0,12099,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,388.0,Gd,TA,PConc,Ex,TA,Av,GLQ,970,Unf,0,166,1136,Ex,SBrkr,1136,1332,2468,1,2,1,4,Gd,10,1,Gd,BuiltIn,2004.0,Fin,3,872,TA,Y,184,154,0,0,,6,2007,WD,Normal,354000
322,323,60,RL,86.0,10380,IR1,Lvl,Inside,SawyerW,Norm,1Fam,2Story,7,5,1986,1987,Gable,Plywood,Plywood,BrkFace,172.0,Gd,TA,CBlock,TA,TA,Gd,LwQ,28,ALQ,1474,0,1502,Ex,SBrkr,1553,1177,2730,1,2,1,4,Gd,8,1,TA,Attchd,1987.0,Fin,2,576,TA,Y,201,96,0,0,MnPrv,8,2007,WD,Normal,301000
323,324,20,RM,49.0,5820,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,3,8,1955,2005,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,256,Unf,0,906,1162,Ex,SBrkr,1163,0,1163,1,1,0,3,TA,6,0,,Attchd,1955.0,Unf,1,220,Fa,Y,142,98,0,0,,7,2006,WD,Normal,126175
324,325,80,RL,96.0,11275,Reg,Lvl,Corner,NAmes,PosN,1Fam,SLvl,7,7,1967,2007,Mansard,Wd Sdng,Wd Sdng,BrkFace,300.0,Gd,Gd,CBlock,Gd,TA,No,Unf,0,Unf,0,710,710,Ex,SBrkr,1898,1080,2978,0,2,1,5,Gd,11,1,Gd,BuiltIn,1961.0,Fin,2,564,TA,Y,240,0,0,0,,6,2010,WD,Normal,242000
325,326,45,RM,50.0,5000,Reg,Lvl,Inside,IDOTRR,RRAe,1Fam,1.5Unf,5,6,1941,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,116,Unf,0,604,720,Po,FuseF,803,0,803,0,1,0,2,TA,5,0,,Detchd,1941.0,Unf,2,360,TA,Y,0,0,244,0,,12,2007,WD,Normal,87000
326,327,120,RL,32.0,10846,IR1,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1619,Unf,0,100,1719,Ex,SBrkr,1719,0,1719,2,1,1,1,Gd,6,2,Gd,Attchd,1993.0,Fin,2,473,TA,Y,122,30,0,0,,5,2008,Con,Normal,324000
327,328,20,RL,80.0,11600,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,Wd Sdng,Wd Sdng,BrkFace,175.0,TA,TA,CBlock,TA,TA,No,Rec,565,Unf,0,818,1383,TA,SBrkr,1383,0,1383,0,1,1,3,TA,7,0,,Attchd,1960.0,RFn,1,292,TA,Y,0,45,0,0,,4,2006,WD,Normal,145250
328,329,75,RL,,11888,IR1,Bnk,Inside,BrkSide,PosN,1Fam,2.5Unf,6,6,1916,1994,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,844,844,Gd,FuseA,1445,689,2134,0,2,0,5,Gd,10,0,,Detchd,1930.0,Unf,2,441,TA,Y,0,60,268,0,,7,2009,WD,Normal,214500
329,330,70,RM,60.0,6402,Reg,Lvl,Corner,IDOTRR,Norm,1Fam,2Story,5,5,1920,1950,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,PConc,TA,TA,Mn,Unf,0,Unf,0,596,596,TA,SBrkr,596,596,1192,0,1,0,3,TA,6,0,,Detchd,1920.0,Unf,1,189,Fa,N,0,0,137,0,GdWo,7,2009,WD,Normal,78000
330,331,90,RL,,10624,IR1,Lvl,Inside,NAmes,Norm,Duplex,1Story,5,4,1964,1964,Gable,HdBoard,HdBoard,BrkFace,84.0,TA,TA,CBlock,TA,TA,No,GLQ,40,Rec,264,1424,1728,TA,SBrkr,1728,0,1728,0,2,0,6,TA,10,0,,Detchd,2002.0,Unf,1,352,TA,Y,155,0,0,0,,11,2007,WD,Normal,119000
331,332,20,RL,70.0,8176,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1992,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,846,Unf,0,210,1056,Fa,SBrkr,1056,0,1056,1,1,0,3,TA,6,0,,Attchd,1958.0,RFn,1,308,TA,Y,0,0,0,0,,8,2007,WD,Normal,139000
332,333,20,RL,85.0,10655,IR1,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2003,2004,Gable,VinylSd,VinylSd,BrkFace,296.0,Gd,TA,PConc,Gd,TA,No,GLQ,1124,,479,1603,3206,Ex,SBrkr,1629,0,1629,1,2,0,3,Gd,7,1,Gd,Attchd,2003.0,RFn,3,880,TA,Y,0,0,0,0,,10,2009,WD,Normal,284000
333,334,120,RM,59.0,8198,Reg,Lvl,FR3,NridgHt,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Stone,146.0,Gd,TA,PConc,Gd,TA,Av,GLQ,720,Unf,0,638,1358,Ex,SBrkr,1358,0,1358,1,2,0,2,Gd,6,1,Gd,Attchd,2004.0,RFn,2,484,TA,Y,192,30,0,0,,7,2008,WD,Normal,207000
